Execute CalibMonitor with infile:d24CE.txt dirName: hcalIsoTrackAnalyzer dupFile: PhiSym2024_RunC.txt comFile: outFile: prefix: 24CE3 corrFile: 100 rcoFile:0 puCorr:-8 Flag:41031 Numb:54 dataMC:1 truncate:2 useGen:0 Scale:1 useScale:0 etaRange:0:30 runRange:0:99999999 phiRange:1:72 zside:1 nvxRange:0:1000 rbxFile: exclude:0 etaMax:1 histFile:24CEM3.root append:0 all:1 nmax:-1
Create a chain for hcalIsoTrackAnalyzer/CalibTree from d24CE.txt flags 1|3|-8
 cons 0.050905 eta range 0:30 run range 0:99999999 (inclusion flag 1)
 Selection of RBX 0 Vertex Range 0:1000
 corrFileName: 100 useScale 0:1:1
 rcorFileName: 0 flag 4:1:0 Threshold Flag 0
No. of Entries in this tree : 96487
Proceed with a tree chain with 96487 entries
Cannot open file 100
Reads 0 correction factors from 100 with flag 0
Flag for scale 0 with scale 1; flag for etaMax 1 and flag for Format 0
No event list provided for selection
Book Histos for Non-Standard 55:3
Cannot open duplicate file PhiSym2024_RunC.txt
CalibCorr is created with flag 4:4 for i/p file 0
Enters readCorrPhi for 0
Cannot open file 0
55 Eta Bins: -27.5 -26.5 -25.5 -24.5 -23.5 -22.5 -21.5 -20.5 -19.5 -18.5 -17.5 -16.5 -15.5 -14.5 -13.5 -12.5 -11.5 -10.5 -9.5 -8.5 -7.5 -6.5 -5.5 -4.5 -3.5 -2.5 -1.5 0 1.5 2.5 3.5 4.5 5.5 6.5 7.5 8.5 9.5 10.5 11.5 12.5 13.5 14.5 15.5 16.5 17.5 18.5 19.5 20.5 21.5 22.5 23.5 24.5 25.5 26.5 27.5
Total entries 96487:96487
Entry 0 Run 380197 Event 53051885
Duplicate event 380197 53051885 43.1399
Duplicate event 380197 52797156 50.3083
Duplicate event 380197 51936815 51.2835
Duplicate event 380197 52744421 50.2539
Duplicate event 380197 52682614 43.8114
Duplicate event 380197 51372777 44.834
Duplicate event 380197 51374641 50.1277
Duplicate event 380197 51829067 45.8013
Duplicate event 380197 52485197 42.4191
Duplicate event 380197 52471091 52.0169
Duplicate event 380197 51254343 55.9212
Duplicate event 380197 51516592 44.3486
Duplicate event 380197 53070269 42.5152
Duplicate event 380197 53424875 49.2101
Duplicate event 380197 51284450 56.1903
Duplicate event 380197 51553671 43.1745
Duplicate event 380197 53253514 50.0378
Duplicate event 380197 51850998 54.3219
Duplicate event 380197 52503290 43.2695
Duplicate event 380197 52503290 45.2536
Duplicate event 380197 52705829 51.7041
Duplicate event 380197 53185501 47.4972
Duplicate event 380197 51963425 44.8799
Duplicate event 380197 51385798 40.0084
Duplicate event 380197 51782817 42.3307
Duplicate event 380197 51982942 47.0957
Duplicate event 380197 52654644 41.12
Duplicate event 380197 53416916 47.8742
Duplicate event 380197 52232176 55.2032
Duplicate event 380197 53473391 52.7582
Duplicate event 380197 52180924 49.1592
Duplicate event 380197 53371088 40.5729
Duplicate event 380197 52484973 52.4271
Duplicate event 380197 52862007 58.2852
Duplicate event 380197 52221146 57.2712
Duplicate event 380197 52099619 41.4049
Duplicate event 380197 52744527 50.3948
Duplicate event 380197 52629308 44.373
Duplicate event 380197 51730371 41.3116
Duplicate event 380197 51475174 59.8561
Duplicate event 380197 53046455 45.0259
Duplicate event 380197 51348967 43.9045
Duplicate event 380197 52538498 52.2294
Duplicate event 380197 52538498 45.7328
Duplicate event 380197 52260711 42.0219
Duplicate event 380197 52542123 42.9182
Duplicate event 380197 53567872 45.4349
Duplicate event 380197 52240556 42.6733
Duplicate event 380197 53003171 42.4064
Duplicate event 380197 53542218 42.1613
Duplicate event 380197 52709314 41.6253
Duplicate event 380197 51800543 58.3376
Duplicate event 380197 53107886 43.4328
Duplicate event 380197 51735522 50.4768
Duplicate event 380197 51799131 40.0596
Duplicate event 380197 53144736 41.2162
Duplicate event 380197 53490705 49.8669
Duplicate event 380197 52081867 41.4555
Duplicate event 380197 53489132 44.9518
Duplicate event 380197 53081646 42.8131
Duplicate event 380197 53242403 43.4532
Duplicate event 380197 52781445 54.6305
Duplicate event 380197 53004425 48.4705
Duplicate event 380197 53094871 52.458
Duplicate event 380197 51388787 49.6137
Duplicate event 380197 53380778 43.1245
Duplicate event 380197 52622522 42.9132
Duplicate event 380197 52516277 43.9515
Duplicate event 380197 53416126 48.0501
Duplicate event 380197 52917735 49.0755
Duplicate event 380197 52266267 41.3623
Duplicate event 380197 51686453 57.749
Duplicate event 380197 53278694 55.8137
Duplicate event 380197 52722215 40.0164
Duplicate event 380197 52108582 43.7156
Duplicate event 380197 51435272 45.5793
Duplicate event 380197 53044248 40.2916
Duplicate event 380197 52421867 43.1194
Duplicate event 380197 51276570 41.0522
Duplicate event 380197 52103764 40.2622
Duplicate event 380197 51906956 58.4681
Duplicate event 380197 53519593 40.5078
Duplicate event 380197 52446889 41.266
Duplicate event 380197 51753266 42.5901
Duplicate event 380197 53113770 44.2734
Duplicate event 380197 52075453 45.5636
Duplicate event 380197 52997771 40.4126
Duplicate event 380197 53393493 48.7184
Duplicate event 380197 53070656 46.3122
Duplicate event 380197 51628959 40.0605
Duplicate event 380197 52387724 48.8251
Duplicate event 380197 51516724 47.6945
Duplicate event 380197 53519932 48.4254
Duplicate event 380197 52526411 53.4236
Duplicate event 380197 51660362 48.8707
Duplicate event 380197 51663957 49.5115
Duplicate event 380197 52137508 46.4534
Duplicate event 380197 51889768 54.7542
Duplicate event 380197 52576271 42.9649
Duplicate event 380197 53044033 45.485
Duplicate event 380197 51782653 52.6094
Duplicate event 380197 53529815 57.3725
Duplicate event 380197 52093424 42.0769
Duplicate event 380197 53519850 42.4777
Duplicate event 380197 53091032 42.4754
Duplicate event 380197 52669812 41.8159
Duplicate event 380197 52310329 43.0132
Duplicate event 380197 51965999 57.4626
Duplicate event 380197 52717041 43.1862
Duplicate event 380197 52752581 45.4218
Duplicate event 380197 51804308 46.9317
Duplicate event 380197 51435383 49.037
Duplicate event 380197 53462242 43.291
Duplicate event 380197 51713740 41.3734
Duplicate event 380197 51284618 53.0309
Duplicate event 380197 51900805 50.3061
Duplicate event 380197 51704825 40.1697
Duplicate event 380197 53253730 40.3576
Duplicate event 380197 51858460 44.3693
Duplicate event 380197 53137048 45.1167
Duplicate event 380197 51967858 51.9918
Duplicate event 380197 53527337 51.1893
Duplicate event 380197 54065382 48.4659
Duplicate event 380197 55726127 45.5316
Duplicate event 380197 53850542 54.6493
Duplicate event 380197 54945130 45.4862
Duplicate event 380197 55616651 43.3667
Duplicate event 380197 54870593 40.528
Duplicate event 380197 54055491 42.8721
Duplicate event 380197 55614542 46.3848
Duplicate event 380197 53751929 50.5382
Duplicate event 380197 55702178 49.6935
Duplicate event 380197 55869468 57.1614
Duplicate event 380197 55347546 51.7093
Duplicate event 380197 54503400 40.7665
Duplicate event 380197 55609354 59.3534
Duplicate event 380197 53665226 41.5961
Duplicate event 380197 54564100 47.6214
Duplicate event 380197 53676564 41.2028
Duplicate event 380197 53995297 41.181
Duplicate event 380197 54568300 51.0043
Duplicate event 380197 54945075 43.528
Duplicate event 380197 54904255 47.5018
Duplicate event 380197 54170398 45.9015
Duplicate event 380197 55115034 57.8346
Duplicate event 380197 54882103 46.147
Duplicate event 380197 55918912 42.7769
Duplicate event 380197 54695196 40.395
Duplicate event 380197 54838097 40.6633
Duplicate event 380197 55589318 40.608
Duplicate event 380197 54212489 41.79
Duplicate event 380197 54120763 54.7216
Duplicate event 380197 54855495 48.487
Duplicate event 380197 54714623 45.0125
